Countries and territories,Place,Start date,End date,Level
Albania,Albania,13/03/2020,,National
Algeria,Algiers,23/03/2020,19/04/2020,City
Algeria,Blida,23/03/2020,19/04/2020,City
Argentina,Argentina,19/03/2020,10/05/2020,National
Armenia,Armenia,24/03/2020,14/04/2020,National
Australia,Australia,23/03/2020,,National
Austria,Austria,16/03/2020,13/04/2020,National
Azerbaijan,Azerbaijan,31/03/2020,20/04/2020,National
Bangladesh,Bangladesh,26/03/2020,25/04/2020,National
Barbados,Barbados,28/03/2020,03/05/2020,National
Belarus,Minsk,07/04/2020,,City
Belgium,Belgium,18/03/2020,19/04/2020,National
Bermuda,Bermuda,04/04/2020,02/05/2020,National
Bolivia,Bolivia,22/03/2020,15/04/2020,National
Botswana,Botswana,02/04/2020,30/04/2020,National
Brazil,Santa Catarina,17/03/2020,07/04/2020,State
Brazil,São Paulo,24/03/2020,08/04/2020,State
Chile,Chile,19/03/2020,,National
Colombia,Colombia,25/03/2020,27/04/2020,National
Republic of the Congo,Republic of the Congo,31/03/2020,20/04/2020,National
Costa Rica,Costa Rica,23/03/2020,,National
Croatia,Croatia,18/03/2020,19/04/2020,National
Cuba,Cuba,23/03/2020,20/04/2020,National
Czech Republic,Czech Republic,16/03/2020,12/04/2020,National
Denmark,Denmark,11/03/2020,13/04/2020,National
Dominican Republic,Dominican Republic,19/03/2020,,National
Ecuador,Ecuador,16/03/2020,31/03/2020,National
El Salvador,El Salvador,12/03/2020,02/04/2020,National
Eritrea,Eritrea,02/04/2020,23/04/2020,National
Fiji,Lautoka,20/03/2020,07/04/2020,City
Fiji,Suva,03/04/2020,17/04/2020,City
Finland,Uusimaa,27/03/2020,16/04/2020,Region
France,France,17/03/2020,11/05/2020,National
Georgia,Georgia,31/03/2020,21/04/2020,National
Germany,Germany,23/03/2020,03/05/2020,National
Ghana,Accra,30/03/2020,12/04/2020,Metropolitan Area
Ghana,Kumasi,30/03/2020,12/04/2020,Metropolitan Area
Greece,Greece,23/03/2020,27/04/2020,National
Guernsey,Guernsey,25/03/2020,,National
Honduras,Honduras,20/03/2020,03/05/2020,National
Hungary,Hungary,28/03/2020,10/04/2020,National
India,India,25/03/2020,03/05/2020,National
Iraq,Iraq,22/03/2020,11/04/2020,National
Ireland,Ireland,12/03/2020,05/05/2020,National
Israel,Bnei Brak,02/04/2020,,City
Italy,Italy,09/03/2020,03/05/2020,National
Jamaica,Saint Catherine,15/04/2020,22/04/2020,Parish
Japan,Chiba,07/04/2020,06/05/2020,Prefecture
Japan,Fukuoka,07/04/2020,06/05/2020,Prefecture
Japan,Hyōgo,07/04/2020,06/05/2020,Prefecture
Japan,Kanagawa,07/04/2020,06/05/2020,Prefecture
Japan,Osaka,07/04/2020,06/05/2020,Prefecture
Japan,Saitama,07/04/2020,06/05/2020,Prefecture
Japan,Tokyo[c],07/04/2020,06/05/2020,Prefecture
Jordan,Jordan,18/03/2020,,National
Kosovo,Kosovo,14/03/2020,04/05/2020,National
Kuwait,Kuwait,14/03/2020,29/03/2020,National
Lebanon,Lebanon,15/03/2020,28/03/2020,National
Liberia,Margibi,23/03/2020,11/04/2020,County
Liberia,Montserrado,23/03/2020,11/04/2020,County
Libya,Libya,22/03/2020,,National
Lithuania,Lithuania,16/03/2020,27/04/2020,National
Luxembourg,Luxembourg,18/03/2020,,National
Madagascar,Antananarivo,23/03/2020,,City
Madagascar,Toamasina,23/03/2020,,City
Malaysia,Malaysia,18/03/2020,12/05/2020,National
Montenegro,Tuzi,24/03/2020,,Municipality
Morocco,Morocco,19/03/2020,20/04/2020,National
Nepal,Nepal,24/03/2020,15/04/2020,National
Netherlands,Netherlands,16/03/2020,28/04/2020,National
New Zealand,New Zealand,26/03/2020,10/05/2020,National
Nigeria,Abuja,30/03/2020,12/04/2020,City
Nigeria,Lagos,30/03/2020,12/04/2020,City
Nigeria,Ogun,30/03/2020,12/04/2020,State
Northern Cyprus,Northern Cyprus,30/03/2020,,National
Norway,Norway,12/03/2020,13/04/2020,National
Oman,Muscat,10/04/2020,08/05/2020,Governorate
Oman,Jalan Bani Bu Ali,16/04/2020,,Province
Pakistan,Pakistan,24/03/2020,09/05/2020,National
Panama,Panama,25/03/2020,07/04/2020,National
Papua New Guinea,Papua New Guinea,24/03/2020,07/04/2020,National
Paraguay,Paraguay,20/03/2020,12/04/2020,National
Peru,Peru,16/03/2020,26/04/2020,National
Philippines,Cebu,27/03/2020,15/05/2020,Province
Philippines,Davao Region,19/03/2020,15/05/2020,Region
Philippines,Luzon,15/03/2020,30/04/2020,Island group
Philippines,Luzon,15/03/2020,15/05/2020,Island group
Philippines,Soccsksargen,23/03/2020,,Region
Poland,Poland,13/03/2020,11/04/2020,National
Portugal,Portugal,19/03/2020,02/04/2020,National
Qatar,Doha Industrial Area,11/03/2020,,Industrial park
Romania,Romania,25/03/2020,12/05/2020,National
Russia,Moscow,30/03/2020,01/05/2020,Metropolitan area
Rwanda,Rwanda,21/03/2020,19/04/2020,National
Samoa,Samoa,26/03/2020,08/04/2020,National
San Marino,San Marino,14/03/2020,,National
Saudi Arabia,Jeddah,29/03/2020,,City
Saudi Arabia,Mecca,26/03/2020,,City
Saudi Arabia,Medina,26/03/2020,,City
Saudi Arabia,Qatif,09/03/2020,,Area
Saudi Arabia,Riyadh,26/03/2020,,City
Serbia,Serbia,15/03/2020,,National
Singapore,Singapore,07/04/2020,01/06/2020,National
Slovakia,Slovakia,16/03/2020,22/04/2020,National
South Africa,South Africa,26/03/2020,30/04/2020,National
Spain,Spain,14/03/2020,09/05/2020,National
Switzerland,Switzerland,17/03/2020,,National
Thailand,Thailand,25/03/2020,31/05/2020,National
Trinidad and Tobago,Trinidad and Tobago,17/03/2020,31/03/2020,National
Tunisia,Tunisia,22/03/2020,19/04/2020,National
Turkey,Turkey,23/04/2020,27/04/2020,National[g]
Ukraine,Ukraine,17/03/2020,24/04/2020,National
United Arab Emirates,United Arab Emirates,26/03/2020,17/04/2020,National
United Kingdom,United Kingdom,23/03/2020,,National
United States,California,19/03/2020,,State
United States,"Clark County, NV",20/03/2020,,County
United States,Connecticut,23/03/2020,22/04/2020,State
United States,Illinois,21/03/2020,30/05/2020,State
United States,"Kansas City, KS",24/03/2020,19/04/2020,City
United States,Massachusetts,24/03/2020,04/05/2020,State
United States,Michigan,24/03/2020,13/04/2020,State
United States,New York,20/03/2020,15/05/2020,State
United States,Oregon,24/03/2020,,State
United States,Wisconsin,24/03/2020,,State
Venezuela,Venezuela,17/03/2020,,National
Zimbabwe,Zimbabwe,30/03/2020,02/05/2020,National