Rank,Country,Score,Electoral processand pluralism,Functio­ning ofgovern­ment,Politicalpartici­pation,Politicalculture,Civilliberties,Regimetype,Region
1,Norway,9.87,10,9.64,10,10,9.71,Full democracy,Western Europe
2,Iceland,9.58,10,9.29,8.89,10,9.71,Full democracy,Western Europe
3,Sweden,9.39,9.58,9.64,8.33,10,9.41,Full democracy,Western Europe
4,New Zealand,9.26,10,9.29,8.89,8.13,10,Full democracy,Asia & Australasia
5,Finland,9.25,10,8.93,8.89,8.75,9.71,Full democracy,Western Europe
6,Ireland,9.24,10,7.86,8.33,10,10,Full democracy,Western Europe
7,Denmark,9.22,10,9.29,8.33,9.38,9.12,Full democracy,Western Europe
7,Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,North America
9,Australia,9.09,10,8.93,7.78,8.75,10,Full democracy,Asia & Australasia
10,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,Western Europe
11,Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy,Western Europe
12,Luxembourg,8.81,10,8.93,6.67,8.75,9.71,Full democracy,Western Europe
13,Germany,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,Western Europe
14,United Kingdom,8.52,9.58,7.5,8.89,7.5,9.12,Full democracy,Western Europe
15,Uruguay,8.38,10,8.57,6.11,7.5,9.71,Full democracy,Latin America
16,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,Western Europe
16,Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy,Western Europe
18,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy,Sub-Saharan Africa
19,Costa Rica,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,Latin America
20,France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
21,Chile,8.08,9.58,8.57,5,8.13,9.12,Full democracy,Latin America
22,Portugal,8.03,9.58,7.86,6.11,7.5,9.12,Full democracy,Western Europe
23,South Korea,8,9.17,7.86,7.22,7.5,8.24,Flawed democracy,Asia & Australasia
24,Japan,7.99,8.75,8.21,6.67,7.5,8.82,Flawed democracy,Asia & Australasia
25,United States,7.96,9.17,7.14,7.78,7.5,8.24,Flawed democracy,North America
26,Malta,7.95,9.17,7.5,6.11,8.13,8.82,Flawed democracy,Western Europe
27,Estonia,7.9,9.58,7.86,6.67,6.88,8.53,Flawed democracy,Eastern Europe
28,Israel,7.86,9.17,7.86,8.89,7.5,5.88,Flawed democracy,Middle East & North Africa
29,Botswana,7.81,9.17,7.14,6.11,7.5,9.12,Flawed democracy,Sub-Saharan Africa
30,Cape Verde,7.78,9.17,7.36,6.67,6.88,8.82,Flawed democracy,Sub-Saharan Africa
31,Taiwan,7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy,Asia & Australasia
32,Czech Republic,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy,Eastern Europe
33,Belgium,7.64,9.58,8.21,5,6.88,8.53,Flawed democracy,Western Europe
34,Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy,Western Europe
35,Italy,7.52,9.58,6.07,7.78,6.25,7.94,Flawed democracy,Western Europe
36,Slovenia,7.5,9.58,6.79,6.67,6.25,8.24,Flawed democracy,Eastern Europe
36,Lithuania,7.5,9.58,6.43,6.11,6.25,9.12,Flawed democracy,Eastern Europe
38,Latvia,7.49,9.58,6.07,6.11,6.88,8.82,Flawed democracy,Eastern Europe
39,Greece,7.43,9.58,4.86,6.67,7.5,8.53,Flawed democracy,Western Europe
40,South Africa,7.24,7.42,7.5,8.33,5,7.94,Flawed democracy,Sub-Saharan Africa
41,Timor-Leste,7.19,9.58,6.29,5.56,6.88,7.65,Flawed democracy,Asia & Australasia
42,Slovakia,7.17,9.58,7.14,5.56,5.63,7.94,Flawed democracy,Eastern Europe
43,Malaysia,7.16,9.17,7.86,6.67,6.25,5.88,Flawed democracy,Asia & Australasia
43,Trinidad and Tobago,7.16,9.58,7.14,6.11,5.63,7.35,Flawed democracy,Latin America
45,Colombia,7.13,9.17,6.79,5.56,5.63,8.53,Flawed democracy,Latin America
46,Panama,7.05,9.58,6.07,6.67,5,7.94,Flawed democracy,Latin America
47,Bulgaria,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy,Eastern Europe
48,Argentina,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
49,Suriname,6.98,9.17,6.43,6.67,5,7.65,Flawed democracy,Latin America
50,Jamaica,6.96,8.75,7.14,4.44,6.25,8.24,Flawed democracy,Latin America
51,India,6.9,8.67,6.79,6.67,5.63,6.76,Flawed democracy,Asia & Australasia
52,Brazil,6.86,9.58,5.36,6.11,5,8.24,Flawed democracy,Latin America
53,Tunisia,6.72,9.17,5.71,7.22,5.63,5.88,Flawed democracy,Middle East & North Africa
54,Philippines,6.64,9.17,5.36,7.22,4.38,7.06,Flawed democracy,Asia & Australasia
55,Ghana,6.63,8.33,5.71,6.67,6.25,6.18,Flawed democracy,Sub-Saharan Africa
55,Hungary,6.63,8.75,6.07,5,6.25,7.06,Flawed democracy,Eastern Europe
57,Poland,6.62,9.17,6.07,6.11,4.38,7.35,Flawed democracy,Eastern Europe
58,Peru,6.6,9.17,5,5.56,5.63,7.65,Flawed democracy,Latin America
59,Croatia,6.57,9.17,6.07,5.56,5,7.06,Flawed democracy,Eastern Europe
60,Dominican Republic,6.54,9.17,5.36,6.11,5,7.06,Flawed democracy,Latin America
60,Lesotho,6.54,9.17,4.5,6.67,5.63,6.76,Flawed democracy,Sub-Saharan Africa
62,Mongolia,6.5,9.17,5.71,5.56,5,7.06,Flawed democracy,Asia & Australasia
63,Romania,6.49,9.17,5.71,5.56,4.38,7.65,Flawed democracy,Eastern Europe
64,Indonesia,6.48,7.92,7.14,6.11,5.63,5.59,Flawed democracy,Asia & Australasia
65,Namibia,6.43,6.58,5.36,6.67,5.63,7.94,Flawed democracy,Sub-Saharan Africa
66,Serbia,6.41,8.25,5.36,6.11,5,7.35,Flawed democracy,Eastern Europe
67,Ecuador,6.33,8.75,5.36,6.11,4.38,7.06,Flawed democracy,Latin America
68,Thailand,6.32,7.42,5.36,6.11,6.25,6.47,Flawed democracy,Asia & Australasia
69,Sri Lanka,6.27,7,6.07,5.56,6.25,6.47,Flawed democracy,Asia & Australasia
70,Paraguay,6.24,8.75,5.71,5,4.38,7.35,Flawed democracy,Latin America
71,El Salvador,6.15,9.17,4.64,6.11,3.75,7.06,Flawed democracy,Latin America
71,Guyana,6.15,6.92,5.36,6.11,5,7.35,Flawed democracy,Latin America
73,Mexico,6.09,7.83,6.07,7.22,3.13,6.18,Flawed democracy,Latin America
74,Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy,Asia & Australasia
75,Hong Kong,6.02,3.58,4.36,6.11,7.5,8.53,Flawed democracy,Asia & Australasia
75,Singapore,6.02,3.92,7.86,5,6.25,7.06,Flawed democracy,Asia & Australasia
77,North Macedonia,5.97,7,5.36,6.67,3.75,7.06,Hybrid regime,Eastern Europe
78,Ukraine,5.9,7.42,2.71,6.67,6.25,6.47,Hybrid regime,Eastern Europe
79,Albania,5.89,7,5.36,4.44,5,7.65,Hybrid regime,Eastern Europe
80,Bangladesh,5.88,7.83,6.07,6.11,4.38,5,Hybrid regime,Asia & Australasia
81,Fiji,5.85,6.58,5.36,6.11,5.63,5.59,Hybrid regime,Asia & Australasia
82,Senegal,5.81,6.08,6.07,4.44,6.25,6.18,Hybrid regime,Sub-Saharan Africa
83,Moldova,5.75,6.58,4.64,6.11,4.38,7.06,Hybrid regime,Eastern Europe
84,Montenegro,5.65,5.67,5.36,6.11,4.38,6.76,Hybrid regime,Eastern Europe
85,Madagascar,5.64,7.92,3.57,6.11,5.63,5,Hybrid regime,Sub-Saharan Africa
86,Armenia,5.54,7.5,5.36,6.11,3.13,5.59,Hybrid regime,Eastern Europe
87,Malawi,5.5,6.08,4.29,5,6.25,5.88,Hybrid regime,Sub-Saharan Africa
88,Liberia,5.45,7.42,3.07,5.56,5.63,5.59,Hybrid regime,Sub-Saharan Africa
89,Georgia,5.42,7.83,3.21,6.11,4.38,5.59,Hybrid regime,Eastern Europe
89,Honduras,5.42,7.83,4.29,4.44,4.38,6.18,Hybrid regime,Latin America
91,Bhutan,5.3,8.75,6.79,2.78,4.38,3.82,Hybrid regime,Asia & Australasia
92,Nepal,5.28,4.83,5.36,5,5.63,5.59,Hybrid regime,Asia & Australasia
93,Guatemala,5.26,6.92,4.64,3.89,4.38,6.47,Hybrid regime,Latin America
94,Kenya,5.18,3.5,5.71,6.67,5.63,4.41,Hybrid regime,Sub-Saharan Africa
95,Tanzania,5.16,5.75,5,5,5.63,4.41,Hybrid regime,Sub-Saharan Africa
96,Morocco,5.1,5.25,4.64,5.56,5.63,4.41,Hybrid regime,Middle East & North Africa
97,Benin,5.09,4.67,5.71,4.44,5.63,5,Hybrid regime,Sub-Saharan Africa
97,Zambia,5.09,4.75,2.93,4.44,6.88,6.47,Hybrid regime,Sub-Saharan Africa
99,Uganda,5.02,4.33,3.57,4.44,6.88,5.88,Hybrid regime,Sub-Saharan Africa
100,Mali,4.92,6.42,3.07,3.89,5.63,5.59,Hybrid regime,Sub-Saharan Africa
101,Kyrgyzstan,4.89,6.08,2.93,6.67,3.75,5,Hybrid regime,Eastern Europe
102,Bosnia and Herzegovina,4.86,6.17,2.93,5.56,3.75,5.88,Hybrid regime,Eastern Europe
102,Sierra Leone,4.86,6.58,2.86,3.33,6.25,5.29,Hybrid regime,Sub-Saharan Africa
104,Bolivia,4.84,4.75,3.93,5,3.75,6.76,Hybrid regime,Latin America
105,Haiti,4.57,4.75,2.07,3.89,6.25,5.88,Hybrid regime,Latin America
106,Lebanon,4.36,3.92,1.5,6.67,5,4.71,Hybrid regime,Middle East & North Africa
107,Gambia,4.33,4,4.29,3.33,5.63,4.41,Hybrid regime,Sub-Saharan Africa
108,Pakistan,4.25,6.08,5.71,2.22,2.5,4.71,Hybrid regime,Asia & Australasia
109,Nigeria,4.12,5.17,3.93,3.33,3.75,4.41,Hybrid regime,Sub-Saharan Africa
110,Turkey,4.09,3.08,5,5,5,2.35,Hybrid regime,Western Europe
111,Ivory Coast,4.05,4.33,2.86,3.33,5.63,4.12,Hybrid regime,Sub-Saharan Africa
112,Burkina Faso,4.04,3.92,2.71,4.44,5,4.12,Hybrid regime,Sub-Saharan Africa
113,Algeria,4.01,3.08,2.86,5,5,4.12,Hybrid regime,Middle East & North Africa
114,Jordan,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian,Middle East & North Africa
114,Kuwait,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian,Middle East & North Africa
116,Mauritania,3.92,3.5,3.57,5,3.13,4.41,Authoritarian,Sub-Saharan Africa
117,Palestine,3.89,3.33,0.14,7.78,4.38,3.82,Authoritarian,Middle East & North Africa
118,Iraq,3.74,5.25,0,6.67,5,1.76,Authoritarian,Middle East & North Africa
119,Angola,3.72,2.25,2.86,5.56,5,2.94,Authoritarian,Sub-Saharan Africa
120,Mozambique,3.65,2.58,2.14,5,5,3.53,Authoritarian,Sub-Saharan Africa
121,Gabon,3.61,2.58,2.21,4.44,5,3.82,Authoritarian,Sub-Saharan Africa
122,Myanmar,3.55,3.08,3.93,2.78,5.63,2.35,Authoritarian,Asia & Australasia
122,Nicaragua,3.55,1.25,2.86,3.89,5.63,4.12,Authoritarian,Latin America
124,Cambodia,3.53,0.83,4.64,3.33,5.63,3.24,Authoritarian,Asia & Australasia
125,Ethiopia,3.44,0.42,3.57,5.56,5,2.65,Authoritarian,Sub-Saharan Africa
126,Togo,3.3,3.17,1.79,3.33,5,3.24,Authoritarian,Sub-Saharan Africa
127,Niger,3.29,2.92,1.14,3.33,4.38,4.71,Authoritarian,Sub-Saharan Africa
128,Qatar,3.19,0,4.29,2.22,5.63,3.82,Authoritarian,Middle East & North Africa
129,Rwanda,3.16,1.42,4.29,2.78,4.38,2.94,Authoritarian,Sub-Saharan Africa
129,Zimbabwe,3.16,0,2.5,4.44,5.63,3.24,Authoritarian,Sub-Saharan Africa
131,Comoros,3.15,2.08,2.21,3.89,3.75,3.82,Authoritarian,Sub-Saharan Africa
132,Eswatini,3.14,0.92,2.86,2.78,5.63,3.53,Authoritarian,Sub-Saharan Africa
132,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,Sub-Saharan Africa
134,Republic of the Congo,3.11,2.17,2.5,3.89,3.75,3.24,Authoritarian,Sub-Saharan Africa
134,Russia,3.11,2.17,1.79,5,2.5,4.12,Authoritarian,Eastern Europe
136,Vietnam,3.08,0,3.21,3.89,5.63,2.65,Authoritarian,Asia & Australasia
137,Egypt,3.06,2.67,3.21,3.33,3.75,2.35,Authoritarian,Middle East & North Africa
137,Oman,3.06,0.08,3.93,2.78,4.38,4.12,Authoritarian,Middle East & North Africa
139,Kazakhstan,2.94,0.5,2.14,4.44,4.38,3.24,Authoritarian,Eastern Europe
140,Venezuela,2.88,0,1.79,5,4.38,3.24,Authoritarian,Latin America
141,Afghanistan,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
141,Cameroon,2.85,1.67,2.5,3.33,4.38,2.35,Authoritarian,Sub-Saharan Africa
143,Cuba,2.84,0,3.57,3.33,4.38,2.94,Authoritarian,Latin America
144,Djibouti,2.77,0.42,1.29,3.89,5.63,2.65,Authoritarian,Sub-Saharan Africa
145,United Arab Emirates,2.76,0,3.93,2.22,5,2.65,Authoritarian,Middle East & North Africa
146,Azerbaijan,2.75,0.5,3.21,2.78,3.75,3.53,Authoritarian,Eastern Europe
147,Sudan,2.7,0,1.79,5.56,5,1.18,Authoritarian,Middle East & North Africa
148,Guinea-Bissau,2.63,4.92,0,2.78,3.13,2.35,Authoritarian,Sub-Saharan Africa
149,Bahrain,2.55,0.83,2.71,2.78,4.38,2.06,Authoritarian,Middle East & North Africa
150,Belarus,2.48,0.92,2,2.78,4.38,2.35,Authoritarian,Eastern Europe
151,Iran,2.38,0,2.86,4.44,3.13,1.47,Authoritarian,Middle East & North Africa
152,Eritrea,2.37,0,2.14,1.67,6.88,1.18,Authoritarian,Sub-Saharan Africa
153,China,2.26,0,4.29,3.33,2.5,1.18,Authoritarian,Asia & Australasia
154,Burundi,2.15,0,0.07,3.33,5,2.35,Authoritarian,Sub-Saharan Africa
155,Laos,2.14,0,2.86,1.67,5,1.18,Authoritarian,Asia & Australasia
156,Libya,2.02,0,0,2.78,4.38,2.94,Authoritarian,Middle East & North Africa
157,Uzbekistan,2.01,0.08,1.86,2.22,5,0.88,Authoritarian,Eastern Europe
158,Yemen,1.95,0,0,3.89,5,0.88,Authoritarian,Middle East & North Africa
159,Saudi Arabia,1.93,0,2.86,2.22,3.13,1.47,Authoritarian,Middle East & North Africa
159,Tajikistan,1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian,Eastern Europe
161,Equatorial Guinea,1.92,0,0.43,3.33,4.38,1.47,Authoritarian,Sub-Saharan Africa
162,Turkmenistan,1.72,0,0.79,2.22,5,0.59,Authoritarian,Eastern Europe
163,Chad,1.61,0,0,1.67,3.75,2.65,Authoritarian,Sub-Saharan Africa
164,Syria,1.43,0,0,2.78,4.38,0,Authoritarian,Middle East & North Africa
165,Central African Republic,1.32,1.25,0,1.11,1.88,2.35,Authoritarian,Sub-Saharan Africa
166,Democratic Republic of the Congo,1.13,0,0,1.67,3.13,0.88,Authoritarian,Sub-Saharan Africa
167,North Korea,1.08,0,2.5,1.67,1.25,0,Authoritarian,Asia & Australasia